book_num,book_name,filename,bitcoin_txid,inscription_id,inscription_number,block_height,block_timestamp_utc,sat,sat_name,receive_address,content_length,content_type,sha256_expected,sha256_verified,verified_at_utc,verification_status
1,Genesis,01_Genesis.txt,d9858ee66bc6ab3c0a343be1802831c8052b0185e218f42d791a4e6f6f69fde2,d9858ee66bc6ab3c0a343be1802831c8052b0185e218f42d791a4e6f6f69fde2i0,124673148,946607,1777132398,1131760508963944,,bc1p3sx2ye5g3edyh0msfxr0n9580qlfpdsdr4v06rl2zq9fh3aee2fqt3jczp,206582,text/plain;charset=utf-8,c8f61bff755e23bb6764d08b8b711ccf1ac8cf196f701b5efd7abc83d54e4373,c8f61bff755e23bb6764d08b8b711ccf1ac8cf196f701b5efd7abc83d54e4373,2026-04-25T15:56:29+00:00,VERIFIED
2,Exodus,02_Exodus.txt,e7bed517915176777c7fc888615c3efa7af1bd6217c62e2fb72011cea2a0c2b8,e7bed517915176777c7fc888615c3efa7af1bd6217c62e2fb72011cea2a0c2b8i0,124673759,946612,1777132920,2001813707892882,,bc1pcchzrwwgm2emtlxfaphyuw29y4kvyvn0r7l4t52vnkefs06090zszkp598,177096,text/plain;charset=utf-8,d60b47677a9aa69fc2454224d0a9beb7e7fc3284e9530f698b83cdf6185ae75a,d60b47677a9aa69fc2454224d0a9beb7e7fc3284e9530f698b83cdf6185ae75a,2026-04-25T16:03:56+00:00,VERIFIED
3,Leviticus,03_Leviticus.txt,ec063b1d87a0d6f9807e0394b73ed68e474928dd88f3560e2dea965326ef4646,ec063b1d87a0d6f9807e0394b73ed68e474928dd88f3560e2dea965326ef4646i0,124673808,946613,1777133773,2001813707777473,,bc1pwkyt494wjw3q0g53ytqcxn2zv4vntvduzpcqey59s8tcrpej7ltq6njr5u,132234,text/plain;charset=utf-8,e42f6f920e5a78c4c83b8242450977f6b0f496ceb43caebc757141a907e91610,e42f6f920e5a78c4c83b8242450977f6b0f496ceb43caebc757141a907e91610,2026-04-25T16:16:19+00:00,VERIFIED
4,Numbers,04_Numbers.txt,7b28db969ae04564ce5b8633c6d0eb833b273643627669b73a6b58cfa9b884b7,7b28db969ae04564ce5b8633c6d0eb833b273643627669b73a6b58cfa9b884b7i0,124673861,946614,1777134257,2001813707840667,,bc1pax30e5ky7xyxaeszezj2s0je0uhj4k4t3vg5twgu9elnjnrtk8esj8xvqz,183561,text/plain;charset=utf-8,24105031843707bcdc8c57008d03f19cb7c838771162f6624a30daf05d6a3e87,24105031843707bcdc8c57008d03f19cb7c838771162f6624a30daf05d6a3e87,2026-04-25T16:24:45+00:00,VERIFIED
5,Deuteronomy,05_Deuteronomy.txt,090cc431f4a8c4e95cc5700c00e3349b9ce2bae846c05512ab6059dcb610bdf8,090cc431f4a8c4e95cc5700c00e3349b9ce2bae846c05512ab6059dcb610bdf8i0,124673949,946615,1777134627,1832263635482733,,bc1pr0z2ae2vzkvm9n6m7ht7hcmnymxgmxen96hljr357rswr2xr4h5s4u5qev,152295,text/plain;charset=utf-8,84d68680f988b376822b90f69f37d93b6bcf101d6ca78b59c5e84893a74056c1,84d68680f988b376822b90f69f37d93b6bcf101d6ca78b59c5e84893a74056c1,2026-04-25T16:31:49+00:00,VERIFIED
6,Joshua,06_Joshua.txt,ab3d1afbaf9206c7e6b0bc2b912be6cfc0189b912da29d2fa5b57ee3cb45270d,ab3d1afbaf9206c7e6b0bc2b912be6cfc0189b912da29d2fa5b57ee3cb45270di0,124674211,946618,1777136392,1832263635526741,,bc1p4l94ujju6fmg33rylsld79xz77gg622zr0a96quy37psu3d5h3cqdgxpc7,104108,text/plain;charset=utf-8,c50f17c75643fa869774765fab4196806493f11c94a3fa7a604f080920e440fc,c50f17c75643fa869774765fab4196806493f11c94a3fa7a604f080920e440fc,2026-04-25T17:01:52+00:00,VERIFIED
7,Judges,07_Judges.txt,179333cbd982bd1198cb2d4f632b9fcab6f32a00cad8e7e3de55b2cada6467be,179333cbd982bd1198cb2d4f632b9fcab6f32a00cad8e7e3de55b2cada6467bei0,124674889,946625,1777143732,76758428042091,,bc1prka3elkqhtg3lx3l4d6tgn6vvamtrtxgr5uy55u6xtdmmuzprwuq9lrl3c,102453,text/plain;charset=utf-8,96f404676881924b9dbbb32146e7e576e9a0998d253dbc4462e72c62d1128c3e,96f404676881924b9dbbb32146e7e576e9a0998d253dbc4462e72c62d1128c3e,2026-04-25T20:23:50+00:00,VERIFIED
8,Ruth,08_Ruth.txt,739983ef571f09cd694f7e83177f20d3421d77f0a4e4090837847246edbd1f42,739983ef571f09cd694f7e83177f20d3421d77f0a4e4090837847246edbd1f42i0,124678531,946633,1777149038,76758428214885,,bc1pvfw9e2qcwwwjrhxcnuu2qkl27lgw2w666kfvwzuxvm3wwz7wqpsqg798v0,13480,text/plain;charset=utf-8,1f5bab24c947cdede723fa5ab61cd9feebc5d566af080a26bd867c1eabf4a1c4,1f5bab24c947cdede723fa5ab61cd9feebc5d566af080a26bd867c1eabf4a1c4,2026-04-25T20:30:59+00:00,VERIFIED
9,1Samuel,09_1Samuel.txt,d275cf6d080e1ddd5ddfd6fd372ca08395aa7ef3ac78a419e81371b1943c3fdf,d275cf6d080e1ddd5ddfd6fd372ca08395aa7ef3ac78a419e81371b1943c3fdfi0,124680481,946647,1777156567,815216702469836,,bc1p2g85wpytz48emljuedym8q35lc6erkec4xm3l9j2z3h64mhwzxyqz6zyd2,134409,text/plain;charset=utf-8,f314cd4c025259d6e5cc276c006669ac5b3bff5a4682a8c1be56032d81fdbea5,f314cd4c025259d6e5cc276c006669ac5b3bff5a4682a8c1be56032d81fdbea5,2026-04-25T22:36:58+00:00,VERIFIED
10,2Samuel,10_2Samuel.txt,2330e61081fbeec3e63bccf18d89ed9e156bdc8f9407d2d86d1e876e658a363f,2330e61081fbeec3e63bccf18d89ed9e156bdc8f9407d2d86d1e876e658a363fi0,124680166,946641,1777154675,940118143774509,,bc1pyy4865a5xaaqz85k2thqfnnctc0dq8ast3jfjrsu2c3kf0nh2h7qzwx3qz,110760,text/plain;charset=utf-8,9626cbe678a87f6aab94f291925eca52b648fda516c28726e0326edcd29cbf1b,9626cbe678a87f6aab94f291925eca52b648fda516c28726e0326edcd29cbf1b,2026-04-25T22:12:36+00:00,VERIFIED
11,1Kings,11_1Kings.txt,ad1b77beb9c1d78a110e29c8739b241f52ed7a47ba45699b6547adebfb135be5,ad1b77beb9c1d78a110e29c8739b241f52ed7a47ba45699b6547adebfb135be5i0,124680482,946647,1777156567,1995961323385164,,bc1p4jjxxq7ue7rpclm09hmgtuefgaxlezfw0e5yvdu27wsz97varzqsa8e24k,132050,text/plain;charset=utf-8,49a8101857e63a6e8f7d645f86ddd42bc2cc7f8de91c4add6768dcf6eba3088a,49a8101857e63a6e8f7d645f86ddd42bc2cc7f8de91c4add6768dcf6eba3088a,2026-04-25T22:36:58+00:00,VERIFIED
